kind,stem_id,other_stem,standard_id,concept_id,node_id,score,detail
ladder_only,ADD,,1.NBT.C.4,,,,"tagged to node: Add by using strategies based on place value concepts and properties of operations. 
 
Make ten (G1 M3)"
ladder_only,ADD,,1.NBT.C.6,,,,"tagged to node: Subtract by using strategies based on place value concepts and properties of operations. 
 
Take from ten (G1 M3)"
ladder_only,ADD,,2.NBT.B.5,,,,"tagged to node: Fluently add single-digit numbers with sums up to 18.,Fluently subtract numbers within 18."
ladder_only,ADD,,2.NBT.B.6,,,,"tagged to node: Add by using strategies based on place value concepts and properties of operations. 
 
Make ten (G1 M3)"
ladder_only,ADD,,2.OA.B.2,,,,"tagged to node: Fluently add single-digit numbers with sums up to 18.,Fluently subtract numbers within 18."
ladder_only,ADD,,4.NBT.4,,,,"tagged to node: Add multi-digit whole numbers by using the standard algorithm.,Subtract multi-digit whole numbers by using the standard "
ladder_only,ADD,,4.NF.B.3.b,,,,tagged to node: Decompose a fraction into a sum of fractions.
ladder_only,ADD,,4.NF.B.3.c,,,,"tagged to node: Rename fractions greater than 1 as mixed numbers and mixed numbers as fractions.,Add fractions with like denominators.,S"
ladder_only,ADD,,4.NF.B.3.d,,,,"tagged to node: Add fractions with like denominators.,Subtract fractions with like denominators."
ladder_only,ADD,,6.NS.B.3,,,,"tagged to node: Add decimals by using the standard algorithm.
(Currently no decimal computation in a G6+ stem.),Subtract decimals by usi"
ladder_only,ADD,,CA.1.NBT.4,,,,"tagged to node: Add by using strategies based on place value concepts and properties of operations. 
 
Make ten (G1 M3)"
ladder_only,ADD,,CA.1.NBT.6,,,,"tagged to node: Subtract by using strategies based on place value concepts and properties of operations. 
 
Take from ten (G1 M3)"
ladder_only,ADD,,CA.2.NBT.5,,,,"tagged to node: Fluently add single-digit numbers with sums up to 18.,Fluently subtract numbers within 18."
ladder_only,ADD,,CA.2.NBT.6,,,,"tagged to node: Add by using strategies based on place value concepts and properties of operations. 
 
Make ten (G1 M3)"
